"chargeback_id","original_transaction_id","card_number_masked","cardholder_name","merchant_name","merchant_id","transaction_amount","transaction_currency","transaction_date","chargeback_date","chargeback_reason_code","chargeback_reason_description","investigation_status","investigator_id","representment_deadline","representment_submitted","representment_date","final_decision","final_decision_date","notes"
"CB-014-2024-01","TX-7845136","4256","Mohammed Al-Farsi","Noon UAE","M-239013","150.5","AED","2024-01-13T20:30:00","2024-01-15T09:00:00","NR02","Cardholder claims item not delivered","pending","","2024-01-28","false","","","","Merchant to provide shipping confirmation."
"CB-015-2024-01","TX-7845137","8472","Sophie Dubois","FNAC Paris","M-239014","38.75","EUR","2024-01-10T16:17:00","2024-01-12T11:00:00","NR04","Product description mismatch","resolved","INV-1011","2024-01-27","true","2024-01-18T12:00:00","cardholder_won","2024-01-23T14:00:00","Product returned, refund issued."
"CB-016-2024-01","TX-7845138","6591","Yuki Yamamoto","Rakuten Japan","M-239015","8000","JPY","2024-01-03T09:45:00","2024-01-05T11:23:00","FR01","Multiple unauthorized charges detected","pending","","2024-01-20","false","","","","Issuer monitoring for further activity."
"CB-017-2024-01","TX-7845139","9127","Emily Carter","Tesco Ireland","M-239016","64","EUR","2024-01-12T14:00:00","2024-01-13T10:15:00","NR03","Incorrect billing amount","reversed","INV-1012","2024-01-29","true","2024-01-20T15:00:00","chargeback_reversed","2024-01-26T12:00:00","Merchant refunded difference."
"CB-018-2024-01","TX-7845140","6731","Carlos Silva","Mercado Livre Brazil","M-239017","210.85","BRL","2024-01-08T08:17:00","2024-01-10T09:00:00","NR02","Order never shipped","pending","","2024-01-27","false","","","","Merchant failed to respond."
"CB-019-2024-01","TX-7845141","3204","James O'Connor","Airbnb Ireland","M-239018","350","EUR","2024-01-06T20:00:00","2024-01-09T09:30:00","NR04","Accommodation not as described","in_review","INV-1013","2024-01-26","false","","","","Awaiting merchant response."
"CB-020-2024-01","TX-7845142","5739","Anna Müller","Booking.com","M-239019","120","EUR","2024-01-11T18:30:00","2024-01-14T10:00:00","NR02","Hotel booking not honored","resolved","INV-1014","2024-01-30","true","2024-01-18T13:00:00","cardholder_won","2024-01-24T12:00:00","Merchant unable to provide confirmation."
"CB-021-2024-01","TX-7845143","8012","Fatima Zahra","Souq Egypt","M-239020","985","EGP","2024-01-09T11:30:00","2024-01-10T09:00:00","FR01","Cardholder did not authorize transaction","pending","","2024-01-23","false","","","","Issuer investigation started."
"CB-022-2024-01","TX-7845144","9245","Mia Sokolov","AliExpress Russia","M-239021","3500","RUB","2024-01-07T16:00:00","2024-01-09T09:00:00","NR02","Goods not delivered","in_review","INV-1015","2024-01-25","true","2024-01-14T15:00:00","merchant_won","2024-01-21T15:00:00","Merchant provided shipping and delivery evidence."
"CB-023-2024-01","TX-7845145","4821","Hannah Kim","eBay Korea","M-239022","89.5","KRW","2024-01-13T13:00:00","2024-01-14T09:00:00","FR02","Cardholder reports suspicious transaction","pending","","2024-01-29","false","","","","Further verification required."
"CB-024-2024-01","TX-7845146","7543","Christian Meyer","Zara Spain","M-239023","135.6","EUR","2024-01-11T20:00:00","2024-01-13T10:00:00","NR03","Wrong product shipped","resolved","INV-1016","2024-01-28","true","2024-01-18T16:00:00","chargeback_accepted","2024-01-22T17:00:00","Merchant did not dispute chargeback."
"CB-025-2024-01","TX-7845147","1032","Olivia Williams","Sephora US","M-239024","43","USD","2024-01-09T13:45:00","2024-01-12T11:00:00","NR02","Order lost during shipment","in_review","INV-1017","2024-01-27","false","","","","Merchant investigating with carrier."
"CB-026-2024-01","TX-7845148","5476","Lucas Dupont","Decathlon France","M-239025","79.9","EUR","2024-01-10T10:15:00","2024-01-12T10:45:00","NR03","Incorrect item sent","resolved","INV-1018","2024-01-28","true","2024-01-18T14:00:00","merchant_won","2024-01-23T12:00:00","Merchant provided proof of correct shipment."
"CB-027-2024-01","TX-7845149","6782","Beatriz Lima","Magazine Luiza","M-239026","129.99","BRL","2024-01-07T21:00:00","2024-01-09T11:00:00","FR01","Charge not recognized by cardholder","pending","","2024-01-25","false","","","","Issuer investigation underway."
"CB-028-2024-01","TX-7845150","5418","Priya Patel","Flipkart India","M-239027","2499","INR","2024-01-12T13:00:00","2024-01-13T10:00:00","NR02","Item not received","in_review","INV-1019","2024-01-29","false","","","","Merchant contacted for shipping info."
"CB-029-2024-01","TX-7845151","8374","Tom Wilson","Costco US","M-239028","145","USD","2024-01-09T19:30:00","2024-01-11T09:00:00","NR04","Service not provided","resolved","INV-1020","2024-01-25","true","2024-01-17T09:00:00","chargeback_accepted","2024-01-21T10:00:00","Cardholder not satisfied with resolution."
"CB-030-2024-01","TX-7845152","9153","Samira Hassan","Carrefour Egypt","M-239029","700","EGP","2024-01-10T13:00:00","2024-01-12T09:00:00","FR02","Suspected fraudulent transaction","pending","","2024-01-26","false","","","","Issuer notified for fraud alert."
"CB-031-2024-01","TX-7845153","7462","Liam Turner","Tesco UK","M-239030","60","GBP","2024-01-08T10:00:00","2024-01-09T14:00:00","NR02","Order never delivered","in_review","INV-1021","2024-01-23","false","","","","Tracking info requested."
"CB-032-2024-01","TX-7845154","5638","Arjun Singh","Amazon India","M-239031","799","INR","2024-01-11T09:00:00","2024-01-13T10:00:00","NR03","Incorrect item delivered","resolved","INV-1022","2024-01-28","true","2024-01-18T13:00:00","cardholder_won","2024-01-24T10:00:00","Cardholder returned item."
"CB-033-2024-01","TX-7845155","9634","Pavel Petrov","Ozon Russia","M-239032","2500","RUB","2024-01-10T15:00:00","2024-01-11T09:00:00","FR01","Transaction not authorized","pending","","2024-01-25","false","","","","Issuer investigating."
"CB-034-2024-01","TX-7845156","4712","Lucía González","Mercadona Spain","M-239033","80.5","EUR","2024-01-12T15:00:00","2024-01-14T11:00:00","NR02","Product not delivered","in_review","INV-1023","2024-01-28","false","","","","Awaiting merchant evidence."
"CB-035-2024-01","TX-7845157","8247","Marta Kowalska","Allegro Poland","M-239034","219.99","PLN","2024-01-08T17:00:00","2024-01-09T09:00:00","FR02","Unusual transaction pattern detected","pending","","2024-01-24","false","","","","Issuer monitoring account."
"CB-036-2024-01","TX-7845158","3815","Sarah Evans","IKEA Sweden","M-239035","699","SEK","2024-01-11T16:00:00","2024-01-13T09:00:00","NR03","Received damaged item","resolved","INV-1024","2024-01-30","true","2024-01-19T13:00:00","merchant_won","2024-01-25T10:00:00","Merchant provided shipping insurance evidence."
"CB-037-2024-01","TX-7845159","9251","Santiago Fernández","Mercado Libre Argentina","M-239036","15000","ARS","2024-01-09T13:00:00","2024-01-10T09:00:00","NR02","Purchase not received","pending","","2024-01-24","false","","","","Merchant did not reply to dispute."
"CB-038-2024-01","TX-7845160","4682","Yasmine Benali","Jumia Morocco","M-239037","420","MAD","2024-01-12T10:00:00","2024-01-13T09:00:00","FR01","Fraudulent transaction reported","pending","","2024-01-27","false","","","","Cardholder confirmed non-participation."
"CB-039-2024-01","TX-7845161","6532","David Johnson","Home Depot US","M-239038","450","USD","2024-01-08T13:00:00","2024-01-09T10:00:00","NR02","Order not delivered","in_review","INV-1025","2024-01-25","false","","","","Merchant to provide shipping details."
"CB-040-2024-01","TX-7845162","8715","Sophia Martinez","Walmart Mexico","M-239039","1200","MXN","2024-01-10T16:00:00","2024-01-11T09:00:00","NR03","Wrong item delivered","resolved","INV-1026","2024-01-27","true","2024-01-18T14:00:00","chargeback_accepted","2024-01-23T17:00:00","Merchant did not dispute."
"CB-041-2024-01","TX-7845163","5248","Amelia Clark","Marks & Spencer UK","M-239040","55","GBP","2024-01-09T19:00:00","2024-01-12T09:00:00","NR04","Service not delivered as promised","in_review","INV-1027","2024-01-28","false","","","","Merchant contacted for details."
"CB-042-2024-01","TX-7845164","5132","Jonas Bauer","MediaMarkt Germany","M-239041","349","EUR","2024-01-11T17:00:00","2024-01-14T09:00:00","FR01","Cardholder did not authorize transaction","pending","","2024-01-28","false","","","","Issuer notified."
"CB-043-2024-01","TX-7845165","7429","Sara Haddad","Carrefour Morocco","M-239042","880","MAD","2024-01-10T10:00:00","2024-01-13T09:00:00","NR02","Goods not received","pending","","2024-01-27","false","","","","Merchant failed to respond."
"CB-044-2024-01","TX-7845166","8253","Ava Thompson","Tesco Ireland","M-239043","69.99","EUR","2024-01-08T16:00:00","2024-01-11T10:00:00","NR03","Incorrect item received","resolved","INV-1028","2024-01-26","true","2024-01-18T11:00:00","cardholder_won","2024-01-22T12:00:00","Merchant accepted return."
"CB-045-2024-01","TX-7845167","1769","Megan Foster","Woolworths Australia","M-239044","23.5","AUD","2024-01-12T19:00:00","2024-01-14T08:00:00","FR02","Cardholder suspects fraud","pending","","2024-01-28","false","","","","Issuer investigating."
"CB-046-2024-01","TX-7845168","8342","Andrea Russo","Esselunga Italy","M-239045","105","EUR","2024-01-09T13:00:00","2024-01-12T10:00:00","NR02","Order not delivered","in_review","INV-1029","2024-01-27","false","","","","Merchant contacted for delivery confirmation."
"CB-047-2024-01","TX-7845169","2973","Juan Gomez","Mercado Libre Mexico","M-239046","1950","MXN","2024-01-11T18:00:00","2024-01-13T09:00:00","NR04","Service did not match description","resolved","INV-1030","2024-01-29","true","2024-01-19T12:00:00","chargeback_accepted","2024-01-25T13:00:00","Merchant did not provide evidence."
"CB-048-2024-01","TX-7845170","4157","Noah Lee","Target US","M-239047","88","USD","2024-01-10T15:00:00","2024-01-11T09:00:00","NR02","Order not received","pending","","2024-01-25","false","","","","Merchant investigating shipment."
"CB-049-2024-01","TX-7845171","9832","Charlotte White","Tesco UK","M-239048","42","GBP","2024-01-09T17:00:00","2024-01-11T10:00:00","NR03","Wrong product shipped","resolved","INV-1031","2024-01-27","true","2024-01-17T13:00:00","merchant_won","2024-01-24T11:00:00","Merchant provided proof of shipment."
"CB-050-2024-01","TX-7845172","4739","Lucas Schmidt","Lidl Germany","M-239049","19.99","EUR","2024-01-08T17:00:00","2024-01-09T09:00:00","FR01","Transaction flagged as fraudulent","pending","","2024-01-24","false","","","","Cardholder notified issuer."
"CB-202405-0001","TXN-202406-10301","4517","Mona Patel","Shopify London","MER-UK-50105","89.99","GBP","2024-05-27T15:09:26","2024-05-29T11:31:17","FRAUD","Customer reported unauthorized transaction.","pending","INV-ENG-203","2024-06-12","false","","","","Initial claim, awaiting documentation."
"CB-202405-0002","TXN-202406-10302","8031","David Tan","Amazon FR","MER-FR-70433","45.12","EUR","2024-05-26T09:21:49","2024-05-28T14:40:54","GOODS_NOT_RECEIVED","Order did not arrive by promised date.","in_review","INV-FR-106","2024-06-10","true","2024-06-04T10:16:00","merchant_won","2024-06-14T13:33:15","Merchant provided tracking proof."
"CB-202405-0003","TXN-202406-10303","1172","Julia Nowak","Zalando DE","MER-DE-21012","112.5","EUR","2024-05-30T18:44:07","2024-06-01T10:15:33","SERVICE_NOT_RENDERED","Service was cancelled, refund not processed.","resolved","INV-DE-212","2024-06-15","false","","cardholder_won","2024-06-16T10:20:05","Refund processed after dispute."
"CB-202405-0004","TXN-202406-10304","6745","Pierre Martin","Carrefour Paris","MER-FR-10983","15.75","EUR","2024-05-25T13:05:42","2024-05-26T11:42:17","GOODS_NOT_AS_DESCRIBED","Product was damaged on arrival.","pending","","2024-06-06","false","","","","Awaiting merchant response."
"CB-202405-0005","TXN-202406-10305","9216","Chloe Smith","Tesco Birmingham","MER-UK-30145","38.99","GBP","2024-05-28T17:22:18","2024-05-29T09:11:20","FRAUD","Card was lost, unauthorized charge.","in_review","INV-UK-315","2024-06-11","false","","","","Police report pending."
"CB-202405-0006","TXN-202406-10306","1035","Stefan Ivanov","Booking.com NL","MER-NL-50432","259","EUR","2024-05-31T12:56:35","2024-06-02T08:23:14","SERVICE_NOT_RENDERED","Hotel cancelled, no refund.","resolved","INV-NL-331","2024-06-16","true","2024-06-10T15:07:11","chargeback_accepted","2024-06-17T09:16:41","Chargeback accepted by issuer."
"CB-202405-0007","TXN-202406-10307","4802","Anna Rossi","IKEA Milan","MER-IT-20876","89.9","EUR","2024-05-27T10:33:20","2024-05-29T12:05:44","GOODS_NOT_RECEIVED","Delivery delay, item not received.","in_review","INV-IT-156","2024-06-13","true","2024-06-11T11:30:00","merchant_won","2024-06-15T14:18:35","Merchant provided delivery confirmation."
"CB-202405-0008","TXN-202406-10308","7634","Lars Svensson","H&M Stockholm","MER-SE-50123","57.49","SEK","2024-05-29T14:40:13","2024-05-30T09:20:16","FRAUD","Card details compromised.","pending","","2024-06-12","false","","","","Investigation initiated."
"CB-202405-0009","TXN-202406-10309","5982","Isabel Garcia","Mercadona Valencia","MER-ES-40122","26.3","EUR","2024-05-28T19:15:50","2024-05-30T08:17:41","GOODS_NOT_AS_DESCRIBED","Item was expired.","in_review","INV-ES-201","2024-06-13","false","","","","Waiting for merchant explanation."
"CB-202405-0010","TXN-202406-10310","8425","Michael O'Connor","Tesco Dublin","MER-IE-50112","52.75","EUR","2024-05-29T16:10:28","2024-05-30T10:30:52","FRAUD","Unauthorized ATM withdrawal.","pending","INV-IE-108","2024-06-14","false","","","","ATM footage requested."
"CB-202405-0011","TXN-202406-10311","3021","Nina Schmidt","Lidl Berlin","MER-DE-30812","19.6","EUR","2024-05-26T13:55:48","2024-05-28T08:18:34","GOODS_NOT_RECEIVED","Order was not delivered.","in_review","INV-DE-312","2024-06-10","true","2024-06-08T16:40:00","merchant_won","2024-06-13T10:21:09","Merchant sent signed delivery slip."
"CB-202405-0012","TXN-202406-10312","6742","Elena Petrova","Decathlon Warsaw","MER-PL-21745","77.2","PLN","2024-05-27T20:25:37","2024-05-28T13:17:03","FRAUD","Card cloned, unauthorized use.","pending","INV-PL-151","2024-06-09","false","","","","Bank monitoring for further activity."
"CB-202405-0013","TXN-202406-10313","8080","Sofia Almeida","Continente Porto","MER-PT-21435","32.15","EUR","2024-05-25T15:48:39","2024-05-27T12:13:22","SERVICE_NOT_RENDERED","Order cancelled, refund not issued.","pending","","2024-06-07","false","","","","Merchant contacted for refund."
"CB-202405-0014","TXN-202406-10314","6119","Olivia Brown","ASOS UK","MER-UK-41562","64.99","GBP","2024-05-30T16:49:13","2024-06-01T10:17:56","GOODS_NOT_AS_DESCRIBED","Wrong color delivered.","in_review","INV-UK-422","2024-06-15","true","2024-06-13T10:45:22","merchant_won","2024-06-18T12:39:42","Merchant provided delivery documentation."
"CB-202405-0015","TXN-202406-10315","2250","Jonas Hansen","Netto Copenhagen","MER-DK-11230","24.75","DKK","2024-05-28T10:31:05","2024-05-29T11:54:46","GOODS_NOT_RECEIVED","Order was not received.","pending","INV-DK-100","2024-06-12","false","","","","Awaiting merchant shipping details."
"CB-202405-0016","TXN-202406-10316","9024","Eva Müller","MediaMarkt Munich","MER-DE-33114","150.25","EUR","2024-05-29T19:44:01","2024-05-30T08:09:22","GOODS_NOT_AS_DESCRIBED","Wrong model delivered.","in_review","INV-DE-333","2024-06-14","true","2024-06-12T12:30:00","merchant_won","2024-06-19T10:10:43","Merchant confirmed correct shipment."
"CB-202405-0017","TXN-202406-10317","3916","Boris Nikolic","Allegro Krakow","MER-PL-50119","71.8","PLN","2024-05-27T21:17:30","2024-05-29T08:44:55","SERVICE_NOT_RENDERED","Service not delivered.","declined","INV-PL-152","2024-06-09","false","","chargeback_declined","2024-06-13T09:53:27","Service confirmed by merchant."
"CB-202405-0018","TXN-202406-10318","7887","Emma Johansson","Elgiganten Malmö","MER-SE-21123","299.99","SEK","2024-05-31T10:42:17","2024-06-01T14:27:41","FRAUD","Card details stolen, unauthorized charge.","resolved","INV-SE-113","2024-06-16","true","2024-06-12T09:00:00","chargeback_accepted","2024-06-18T10:32:15","Chargeback granted after investigation."
"CB-202405-0019","TXN-202406-10319","4539","Nuno Ferreira","Pingo Doce Lisbon","MER-PT-40123","21.5","EUR","2024-05-26T17:11:42","2024-05-28T09:57:23","GOODS_NOT_AS_DESCRIBED","Product was spoiled.","in_review","INV-PT-107","2024-06-10","false","","","","Merchant asked for photo evidence."
"CB-202405-0020","TXN-202406-10320","9208","Charlotte Dubois","Fnac Paris","MER-FR-21103","85","EUR","2024-05-30T09:21:33","2024-06-01T11:15:09","GOODS_NOT_RECEIVED","Courier did not deliver package.","pending","INV-FR-110","2024-06-15","false","","","","Customer provided order confirmation."
"CB-202405-0021","TXN-202406-10321","7526","Lucas Müller","Saturn Hamburg","MER-DE-50129","139.99","EUR","2024-05-28T18:12:00","2024-05-29T08:31:15","GOODS_NOT_AS_DESCRIBED","Item missing accessories.","pending","","2024-06-12","false","","","","Merchant contacted for details."
"CB-202405-0022","TXN-202406-10322","8643","Katarina Novak","dm Zagreb","MER-HR-31208","45.6","HRK","2024-05-29T16:45:28","2024-05-30T10:21:33","GOODS_NOT_RECEIVED","Delivery did not arrive.","in_review","INV-HR-101","2024-06-14","false","","","","Awaiting courier tracking info."
"CB-202405-0023","TXN-202406-10323","3451","Sara Lee","Marks & Spencer London","MER-UK-45321","112.45","GBP","2024-05-27T11:40:04","2024-05-29T09:53:45","SERVICE_NOT_RENDERED","Appointment cancelled, no refund.","pending","INV-UK-423","2024-06-12","false","","","","Refund requested from merchant."
"CB-202405-0024","TXN-202406-10324","1793","Miguel Sanchez","El Corte Inglés Madrid","MER-ES-60132","88.33","EUR","2024-05-28T21:13:08","2024-05-30T12:45:18","FRAUD","Card stolen, unauthorized use.","resolved","INV-ES-205","2024-06-13","true","2024-06-09T14:55:40","chargeback_reversed","2024-06-16T09:28:56","Merchant provided video proof."
"CB-202405-0025","TXN-202406-10325","6057","John Murphy","Dunnes Stores Cork","MER-IE-20112","22.99","EUR","2024-05-26T10:10:34","2024-05-28T08:44:18","GOODS_NOT_RECEIVED","Order never delivered.","pending","INV-IE-109","2024-06-09","false","","","","Courier tracking requested."
"CB-202405-0026","TXN-202406-10326","4447","Martina Dvorak","Tesco Prague","MER-CZ-41113","39.45","CZK","2024-05-27T18:50:11","2024-05-29T08:12:30","GOODS_NOT_AS_DESCRIBED","Wrong item delivered.","in_review","INV-CZ-101","2024-06-12","false","","","","Awaiting merchant response."
"CB-202405-0027","TXN-202406-10327","9912","Alicia Romero","Mercadona Madrid","MER-ES-40121","19.99","EUR","2024-05-29T16:20:08","2024-05-30T11:33:22","GOODS_NOT_RECEIVED","Delivery failed.","pending","","2024-06-13","false","","","","Customer waiting for delivery update."
"CB-202405-0028","TXN-202406-10328","2194","Andreas Larsen","Bilka Aarhus","MER-DK-20115","62","DKK","2024-05-28T13:32:09","2024-05-29T11:20:34","SERVICE_NOT_RENDERED","Order cancelled, no refund.","pending","INV-DK-101","2024-06-13","false","","","","Merchant contacted for refund."
"CB-202405-0029","TXN-202406-10329","6683","Linda Bauer","Aldi Köln","MER-DE-43111","17.65","EUR","2024-05-26T17:25:30","2024-05-28T09:55:12","FRAUD","Card lost, unauthorized charge.","resolved","INV-DE-301","2024-06-10","true","2024-06-07T13:00:00","chargeback_accepted","2024-06-12T11:40:36","Chargeback accepted after investigation."
"CB-202405-0030","TXN-202406-10330","7147","Tomasz Zielinski","Biedronka Poznan","MER-PL-50143","34.2","PLN","2024-05-27T15:40:50","2024-05-28T13:09:18","GOODS_NOT_RECEIVED","Order not received.","pending","","2024-06-09","false","","","","Shipment tracking requested."
"CB-202405-0031","TXN-202406-10331","3975","Lucia Ferrari","Coop Florence","MER-IT-31145","23.5","EUR","2024-05-28T18:30:21","2024-05-29T11:26:10","GOODS_NOT_AS_DESCRIBED","Wrong item received.","pending","INV-IT-159","2024-06-12","false","","","","Awaiting merchant reply."
"CB-202405-0032","TXN-202406-10332","5872","Rosa Santos","Auchan Lisbon","MER-PT-32109","42.75","EUR","2024-05-27T20:16:07","2024-05-29T08:41:19","SERVICE_NOT_RENDERED","Service not delivered.","declined","INV-PT-110","2024-06-11","false","","chargeback_declined","2024-06-14T09:58:00","Merchant provided service confirmation."
"CB-202405-0033","TXN-202406-10333","4608","Petra Horvat","Konzum Split","MER-HR-31124","28.9","HRK","2024-05-28T16:25:52","2024-05-29T11:05:17","FRAUD","Unauthorized transaction.","resolved","INV-HR-102","2024-06-12","true","2024-06-09T09:30:00","chargeback_accepted","2024-06-15T09:30:00","Chargeback accepted."
"CB-202405-0034","TXN-202406-10334","1913","Henrik Nielsen","Coop Copenhagen","MER-DK-32115","55.2","DKK","2024-05-29T13:15:45","2024-05-30T08:55:20","GOODS_NOT_RECEIVED","Order never arrived.","pending","","2024-06-14","false","","","","Shipment lost in transit."
"CB-202405-0035","TXN-202406-10335","8462","Kurt Johansson","ICA Stockholm","MER-SE-51123","66.5","SEK","2024-05-27T14:45:50","2024-05-29T09:11:29","SERVICE_NOT_RENDERED","Appointment cancelled, no refund.","declined","INV-SE-114","2024-06-13","false","","chargeback_declined","2024-06-16T09:44:00","Merchant confirmed appointment cancellation."
"CB-202405-0036","TXN-202406-10336","7792","Anna Larsson","H&M Malmö","MER-SE-50121","31.99","SEK","2024-05-29T19:37:08","2024-05-31T09:15:07","GOODS_NOT_AS_DESCRIBED","Wrong size delivered.","in_review","INV-SE-115","2024-06-15","false","","","","Merchant contacted for replacement."
"CB-202405-0037","TXN-202406-10337","5542","Giulia Rossi","Lidl Rome","MER-IT-32120","20.9","EUR","2024-05-29T15:11:32","2024-05-30T11:15:08","FRAUD","Card compromised.","pending","INV-IT-161","2024-06-14","false","","","","Bank monitoring for further activity."
"CB-202405-0038","TXN-202406-10338","3501","Jacek Kowalski","Auchan Warsaw","MER-PL-40143","36","PLN","2024-05-28T13:45:20","2024-05-29T10:20:51","GOODS_NOT_RECEIVED","Order not delivered.","pending","","2024-06-12","false","","","","Awaiting delivery confirmation."
"CB-202405-0039","TXN-202406-10339","8907","Laura Müller","Rewe Hamburg","MER-DE-55113","25.3","EUR","2024-05-29T12:46:32","2024-05-30T09:50:32","GOODS_NOT_AS_DESCRIBED","Damaged goods received.","in_review","INV-DE-334","2024-06-13","true","2024-06-10T11:00:00","merchant_won","2024-06-16T11:45:10","Merchant provided delivery photo."
"CB-202405-0040","TXN-202406-10340","6666","Tereza Svoboda","Albert Brno","MER-CZ-31113","41.2","CZK","2024-05-28T15:54:16","2024-05-30T10:37:02","GOODS_NOT_RECEIVED","Delivery delayed.","pending","INV-CZ-102","2024-06-13","false","","","","Merchant investigating delivery."
"CB-202405-0041","TXN-202406-10341","1582","Sven Andersen","Rema 1000 Oslo","MER-NO-21113","51.5","NOK","2024-05-29T17:22:37","2024-05-30T09:11:34","SERVICE_NOT_RENDERED","Service cancelled, no refund.","declined","INV-NO-101","2024-06-13","false","","chargeback_declined","2024-06-15T09:55:00","Merchant confirmed cancellation."
"CB-202405-0042","TXN-202406-10342","5038","Natalie Klein","Penny Markt Berlin","MER-DE-61114","17.8","EUR","2024-05-27T14:05:09","2024-05-29T09:15:34","FRAUD","Card stolen, unauthorized purchase.","resolved","INV-DE-302","2024-06-12","true","2024-06-09T14:05:00","chargeback_accepted","2024-06-13T09:30:00","Chargeback accepted."
"CB-202405-0043","TXN-202406-10343","4251","Lucas Costa","Continente Porto","MER-PT-21438","29.99","EUR","2024-05-28T19:13:22","2024-05-30T10:28:45","GOODS_NOT_AS_DESCRIBED","Wrong product delivered.","in_review","INV-PT-111","2024-06-13","true","2024-06-10T16:00:00","merchant_won","2024-06-15T09:30:00","Merchant provided delivery confirmation."
"CB-202405-0044","TXN-202406-10344","7594","Sophie Dubois","Carrefour Lyon","MER-FR-11883","35.5","EUR","2024-05-29T13:45:14","2024-05-31T10:20:09","GOODS_NOT_RECEIVED","Package lost by courier.","pending","INV-FR-111","2024-06-15","false","","","","Courier contacted for update."
"CB-202405-0045","TXN-202406-10345","2764","Kristian Olsen","Rema 1000 Aarhus","MER-DK-21115","52.8","DKK","2024-05-29T11:35:40","2024-05-30T13:40:55","SERVICE_NOT_RENDERED","Service not performed, refund not given.","declined","INV-DK-102","2024-06-13","false","","chargeback_declined","2024-06-15T09:45:00","Merchant confirmed service performed."
